"id","ts","data","FacebookID","username"
"222e7e7d04ec5b7e3a2cfdd932ff7a406c1ae1764d531b93f7f6160a1d9b7146","2020-01-09T16:00:45Z","I used to work in animal hospitals. Weve been giving vaccines for coronavirus in dogs for 20yrs. I had to research to see if its the same virus in ppl. 
A local animal hospital link said its not... But the link attached here says As the present illness does not not transmit readily between people it’s possible they were infected by animals at the market.","10156938881731623_10156939226736623",
"d4f49c7f963fd50b6e3ac2525f79f8634a8abcd5dd83e04b127658f47f417e88","2020-01-19T11:41:14Z","A new strain of coronavirus has been discovered in China — and now cases have been identified in Thailand and Japan from travelers who had come from the central city of Wuhan.

Heres what you should know about the outbreak ?","10643211755_10158845112286756","NPR"
"970536bed5285ac62ad92357bdc91c078758d2fe05ad86a464e3335b80a39ca7","2020-01-20T23:30:29Z","https:arstechnica.comscience202001wuhan-outbreak-triples-as-new-coronavirus-found-to-spread-human-to-human","10160082681076840_174413923805625",
"499ba4990dc15720b01ed1fadbbbc57eeba0f5e8e43573cf99ede99f6681fbfa","2020-01-20T18:59:47Z","And this is why the coronavirus is killing yall ?","10160080959741840_824713591333120",
"82f55240159b686a8287c1390265fc74dd84b810201ee85accd09590f89e3b4e","2020-01-20T15:56:55Z","The World Health Organization has identified the virus as a new coronavirus strain","136413806438283_2752501721496132","timesofoman"
"1a85e61b6b1da4adc529410d924396e45399344b985c2852a978d27e647b3665","2020-01-21T23:38:13Z","HAPPENING NOW: Officials with the Washington State Public Health Department give an update on coronavirus case. https:abcn.ws36f3Tan","184096565021911_VK_1072771649737951","ABCNewsPolitics"
"e7e577a3b1087a805796c9e7e2be5f45a51a32dcbeed2c6a80dd7b62572df573","2020-01-21T23:31:02Z","https:www.cdc.govcoronavirus2019-nCoVguidance-hcp.html","10156971631491623_10156973293596623",
"e1cc6f2c9420f7b6fac0184cef9439d691270290f120489f9acff340f5b46a2a","2020-01-21T23:30:55Z","Ma m’souincer des corona tu va y vont voir que l’coronavirus fera pas long feu","2869613553133288_2870114449749865",
"b35f018316c7dd7bf8f0b969c9c9571e04bf7f11043a53b26723944394accef8","2020-01-21T23:30:54Z","Le coronavirus amener dla lime on vas s en occuper nous autre ????","2869613553133288_2870228096405167",
"7e8473e6f30d17b1b2c7207ba641a8a3b15ad7ca9ad7d7e9d861b8bb6562e907","2020-01-21T22:04:10Z","Gaby Sepúlveda ya empezó con el coronavirus jajaja","10160082681076840_218121379213628",
"ebd5988b123667f4e79c593146616de0fee5e6395f4e20d3a9bb01e5c9ed5520","2020-01-21T21:13:36Z","Romy van Borkulo ik kan er niet meer op klikken... miss verwijderd? Maar het coronavirus heeft me in zn greep en nu de nacht aanbreekt vrees ik ook voor een gigantische cholera uitbraak ?","10160082681076840_1060888457594197",
